seed,method,scope,cells,mae,normalized_mae,rmse,normalized_rmse,pearson,spearman,policy_agreement,optimality_residual_mean,optimality_residual_max
2,Policy Evaluation,all_nonterminal,259200,39.11997991494187,0.0039119979914941875,97.77732223472469,0.009777732223472469,0.9992336262057372,0.9984355486069625,0.9095910493827161,5.389123779115319,4475.232137638108
2,Policy Evaluation,q1,129600,12.475716178644426,0.0012475716178644426,18.129673313125625,0.0018129673313125626,0.9984765740955276,0.9976762580270144,0.9238734567901234,0.846826143633784,373.85968300312754
2,Policy Evaluation,q2,129600,65.76424365123931,0.006576424365123931,137.08436975945037,0.013708436975945038,0.9987715041590923,0.997957028729173,0.8953086419753087,9.931421414596855,4475.232137638108
2,MaxQ,all_nonterminal,259200,827.5105295223315,0.08275105295223315,1696.5833381519835,0.16965833381519835,0.7243580334399415,0.5601143848071809,0.9095910493827161,421.94246148313044,9899.999999999993
2,MaxQ,q1,129600,149.77870448017865,0.014977870448017865,223.11912650216934,0.022311912650216932,0.6078582669114801,0.6022450679769099,0.9238734567901234,73.89731445351613,914.4844271228359
2,MaxQ,q2,129600,1505.2423545644845,0.15052423545644844,2388.934470005145,0.2388934470005145,0.6626570202031832,0.6210497579881539,0.8953086419753087,769.9876085127447,9899.999999999993
3,Policy Evaluation,all_nonterminal,259200,36.46838297441856,0.003646838297441856,90.66573211007689,0.009066573211007688,0.9993787414973262,0.9987667348113485,0.9119058641975308,5.033514717597525,4430.479816261727
3,Policy Evaluation,q1,129600,6.845033942759071,0.0006845033942759071,13.311451854591805,0.0013311451854591805,0.9984543886158399,0.9975780187005121,0.9260570987654321,0.8682379690368891,389.19554017627826
3,Policy Evaluation,q2,129600,66.09173200607806,0.006609173200607806,127.52786051540006,0.012752786051540007,0.9990127358689624,0.9984557415327409,0.8977546296296296,9.198791466158161,4430.479816261727
3,MaxQ,all_nonterminal,259200,816.6104369262275,0.08166104369262275,1679.3659055425312,0.1679365905542531,0.7303979003288843,0.5647708445018339,0.9119058641975308,421.16980753198965,9899.999999999993
3,MaxQ,q1,129600,147.39806859354434,0.014739806859354434,222.11379155466093,0.022211379155466095,0.6102897427531483,0.609979929313838,0.9260570987654321,75.29079424564092,942.4769345560877
3,MaxQ,q2,129600,1485.8228052589106,0.14858228052589106,2364.5729324760914,0.23645729324760914,0.6701896200598622,0.6358712846981986,0.8977546296296296,767.0488208183384,9899.999999999993
4,Policy Evaluation,all_nonterminal,259200,39.93025875695376,0.003993025875695376,100.22062374676636,0.010022062374676637,0.9992289989370869,0.998637598320417,0.9096103395061729,5.289453315473536,4475.232137638108
4,Policy Evaluation,q1,129600,10.39732696375196,0.001039732696375196,18.322324971755886,0.0018322324971755887,0.9976665304545712,0.9969983785936473,0.9242978395061728,0.9398303966421614,370.1210861730963
4,Policy Evaluation,q2,129600,69.46319055015556,0.006946319055015556,140.54408296335777,0.014054408296335776,0.9987664608113853,0.9983597660150769,0.8949228395061728,9.63907623430491,4475.232137638108
4,MaxQ,all_nonterminal,259200,817.0671028468166,0.08170671028468167,1677.1609205673212,0.16771609205673213,0.731551629604725,0.5656475210138817,0.9096103395061729,417.08622772115444,9899.999999999993
4,MaxQ,q1,129600,150.97122754992915,0.015097122754992915,224.8633847435443,0.02248633847435443,0.603295940215939,0.590593366994875,0.9242978395061728,74.37465348242914,942.4769345560877
4,MaxQ,q2,129600,1483.1629781437039,0.1483162978143704,2361.1806295067995,0.23611806295067994,0.6708306469366467,0.6316814947524231,0.8949228395061728,759.7978019598797,9899.999999999993
