experiment,policy,category,training_seed,evaluation_seed,episode,max_cycles_per_episode,max_episode_steps,success,failure,completed_cycles,at_least_one_cycle,at_least_two_cycles,at_least_three_cycles,task_return,environment_return,episode_length,dfa_transitions,reached_dfa_states,env_terminated,env_truncated,stopped_at_cycle_cap
prova_atterraggio,best_policy.pth,best,,,335,3,gym_default,0,0,0,0,0,0,0.0,-586.5989151301986,122,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,336,3,gym_default,1,0,0,0,0,0,10000.0,254.18160597088632,333,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,337,3,gym_default,1,0,0,0,0,0,10000.0,164.1110304676229,691,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,338,3,gym_default,1,0,0,0,0,0,10000.0,268.89133709395395,332,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,339,3,gym_default,0,0,0,0,0,0,0.0,-608.7981928669077,298,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,340,3,gym_default,1,0,0,0,0,0,10000.0,245.21501152752936,587,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,341,3,gym_default,1,0,0,0,0,0,10000.0,243.6447624166368,333,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,342,3,gym_default,0,0,0,0,0,0,0.0,-566.026534566221,591,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,343,3,gym_default,1,0,0,0,0,0,10000.0,245.64964173481917,343,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,344,3,gym_default,0,0,0,0,0,0,0.0,-311.8286608956141,530,2,1|2|3,1,0,0
prova_atterraggio,best_policy.pth,best,,,345,3,gym_default,0,0,0,0,0,0,0.0,-233.0404967921845,533,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,346,3,gym_default,1,0,0,0,0,0,10000.0,253.01789025056866,404,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,347,3,gym_default,1,0,0,0,0,0,10000.0,251.42100535909825,323,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,348,3,gym_default,0,0,0,0,0,0,0.0,-64.36071881374329,222,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,349,3,gym_default,0,0,0,0,0,0,0.0,-363.6122728541957,380,2,1|2|3,1,0,0
